trade_id,trade_date,source_report,ticker,action,shares_delta,previous_weight_pct,new_weight_pct,weight_change_pct,target_weight_pct,conviction_tier,portfolio_role,funding_source_note
weekly_analysis_pro_260330-NONE,2026-03-30,weekly_analysis_pro_260330.md,NONE,No change,0.0,0.0,0.0,0.0,,,,Maintained positioning
weekly_analysis_pro_260403-NONE,2026-04-03,weekly_analysis_pro_260403.md,NONE,No change,0.0,0.0,0.0,0.0,,,,Share counts unchanged
weekly_analysis_pro_260505-SMH,2026-05-05,weekly_analysis_pro_260505.md,SMH,Increase,8.0,21.35,24.69,3.34,24.69,Tier 1,Growth engine,Funded from cash
model-2026-05-29-20260530_101857-01-GLD,2026-05-29,runtime:etf_report_state_20260529_20260530_101857.json,GLD,Decrease,-15.380800,9.4300,4.4300,-5.0000,4.4300,Tier 3,Hedge ballast,Canonical model rotation
model-2026-05-29-20260530_101857-01-GSG,2026-05-29,runtime:etf_report_state_20260529_20260530_101857.json,GSG,Increase,201.749658,0.0000,5.0000,5.0000,5.0000,Tier 2,Rotation destination,Canonical model rotation
model-2026-06-01-20260601_205016-01-GLD-SELL,2026-06-01,runtime:etf_report_state_20260601_20260601_205016.json,GLD,Sell,-13.619200,4.3700,0.0000,-4.3700,0.0000,Tier 3,Hedge ballast,Guarded auto-execution: reduce GLD to fund GSG.
model-2026-06-01-20260601_205016-01-GSG-BUY,2026-06-01,runtime:etf_report_state_20260601_20260601_205016.json,GSG,Buy,172.543574,5.1000,9.4700,4.3700,9.4700,Tier 2,Rotation destination,Guarded auto-execution: buy GSG funded by GLD.
model-2026-06-01-20260601_211536-01-DFEN-BUY,2026-06-01,runtime:etf_report_state_20260601_20260601_211536.json,DFEN,Buy,91.767944,0.0000,5.0000,5.0000,5.0000,,Rotation destination,Guarded auto-execution: buy DFEN funded by PPA.
model-2026-06-01-20260601_211536-01-PPA-SELL,2026-06-01,runtime:etf_report_state_20260601_20260601_211536.json,PPA,Sell,-36.956728,14.8800,9.8800,-5.0000,9.8800,Tier 3,Resilience,Guarded auto-execution: reduce PPA to fund DFEN.
model-2026-06-01-20260601_213417-01-CIBR-BUY,2026-06-01,runtime:etf_report_state_20260601_20260601_213417.json,CIBR,Buy,68.141070,0.0000,5.0000,5.0000,5.0000,,Rotation destination,Guarded auto-execution: buy CIBR funded by PPA.
model-2026-06-01-20260601_213417-01-PPA-SELL,2026-06-01,runtime:etf_report_state_20260601_20260601_213417.json,PPA,Sell,-36.958001,9.8800,4.8800,-5.0000,4.8800,Tier 3,Resilience,Guarded auto-execution: reduce PPA to fund CIBR.
model-2026-06-02-20260602_215015-01-CIBR-BUY,2026-06-02,runtime:etf_report_state_20260602_20260602_215015.json,CIBR,Buy,66.175471,4.9200,9.6900,4.7700,9.6900,,Rotation destination,Guarded auto-execution: buy CIBR funded by PPA.
model-2026-06-02-20260602_215015-01-PPA-SELL,2026-06-02,runtime:etf_report_state_20260602_20260602_215015.json,PPA,Sell,-36.085271,4.7800,0.0000,-4.7800,0.0000,Tier 3,Resilience,Guarded auto-execution: reduce PPA to fund CIBR.
model-2026-06-02-20260602_224139-01-PAVE-SELL,2026-06-02,runtime:etf_report_state_20260602_20260602_224139.json,PAVE,Sell,-114.874299,13.5400,8.5400,-5.0000,8.5400,Tier 2,Real-asset capex,Guarded auto-execution: reduce PAVE to fund XLU.
model-2026-06-02-20260602_224139-01-XLU-BUY,2026-06-02,runtime:etf_report_state_20260602_20260602_224139.json,XLU,Buy,148.865578,0.0000,5.0000,5.0000,5.0000,,Rotation destination,Guarded auto-execution: buy XLU funded by PAVE.
model-2026-06-02-20260603_165723-01-CIBR-BUY,2026-06-02,runtime:etf_report_state_20260602_20260603_165723.json,CIBR,Buy,69.287520,9.6900,14.6900,5.0000,14.6900,,Rotation destination,Guarded auto-execution: buy CIBR funded by PAVE.
model-2026-06-02-20260603_165723-01-PAVE-SELL,2026-06-02,runtime:etf_report_state_20260602_20260603_165723.json,PAVE,Sell,-114.874299,8.5400,3.5400,-5.0000,3.5400,Tier 2,Real-asset capex,Guarded auto-execution: reduce PAVE to fund CIBR.
model-2026-06-03-20260604_190001-01-CIBR-BUY,2026-06-03,runtime:etf_report_state_20260603_20260604_190001.json,CIBR,Buy,50.332400,14.4200,17.9800,3.5600,17.9800,,Rotation destination,Guarded auto-execution: buy CIBR funded by PAVE.
model-2026-06-03-20260604_190001-01-PAVE-SELL,2026-06-03,runtime:etf_report_state_20260603_20260604_190001.json,PAVE,Sell,-80.537111,3.6000,0.0300,-3.5700,0.0300,Tier 2,Real-asset capex,Guarded auto-execution: reduce PAVE to fund CIBR.
model-2026-06-04-20260604_221223-01-IEFA-BUY,2026-06-04,runtime:etf_report_state_20260604_20260604_221223.json,IEFA,Buy,66.035145,0.0000,5.0200,5.0200,5.0200,,Rotation destination,Guarded auto-execution: buy IEFA funded by SPY.
model-2026-06-04-20260604_221223-01-SPY-SELL,2026-06-04,runtime:etf_report_state_20260604_20260604_221223.json,SPY,Sell,-8.557381,24.0500,19.0300,-5.0200,19.0300,Tier 2,Core beta,Guarded auto-execution: reduce SPY to fund IEFA.
model-2026-06-09-20260610_192531-01-IEFA-BUY,2026-06-09,runtime:etf_report_state_20260609_20260610_192531.json,IEFA,Buy,63.768831,5.1800,10.1800,5.0000,10.1800,Tier 3,Rotation destination,Guarded auto-execution: buy IEFA funded by SPY.
model-2026-06-09-20260610_192531-01-SPY-SELL,2026-06-09,runtime:etf_report_state_20260609_20260610_192531.json,SPY,Sell,-8.320533,19.5000,14.5000,-5.0000,14.5000,Tier 2,Core beta,Guarded auto-execution: reduce SPY to fund IEFA.
model-2026-06-10-20260610_204613-01-IEFA-BUY,2026-06-10,runtime:etf_report_state_20260610_20260610_204613.json,IEFA,Buy,63.254703,10.2600,15.2600,5.0000,15.2600,Tier 3,Rotation destination,Guarded auto-execution: buy IEFA funded by SPY.
model-2026-06-10-20260610_204613-01-SPY-SELL,2026-06-10,runtime:etf_report_state_20260610_20260610_204613.json,SPY,Sell,-8.268811,14.5900,9.5900,-5.0000,9.5900,Tier 2,Core beta,Guarded auto-execution: reduce SPY to fund IEFA.
model-2026-06-11-20260612_070241-01-IEFA-BUY,2026-06-11,runtime:etf_report_state_20260611_20260612_070241.json,IEFA,Buy,61.568097,15.1300,19.9600,4.8300,19.9600,Tier 3,Rotation destination,Guarded auto-execution: buy IEFA funded by SPY.
model-2026-06-11-20260612_070241-01-SPY-SELL,2026-06-11,runtime:etf_report_state_20260611_20260612_070241.json,SPY,Sell,-8.160844,9.3700,4.5500,-4.8200,4.5500,Tier 2,Core beta,Guarded auto-execution: reduce SPY to fund IEFA.
model-2026-06-12-20260612_210139-01-IEFA-BUY,2026-06-12,runtime:etf_report_state_20260612_20260612_210139.json,IEFA,Buy,57.861841,19.9300,24.4600,4.5300,24.4600,Tier 3,Rotation destination,Guarded auto-execution: buy IEFA funded by SPY.
model-2026-06-12-20260612_210139-01-SPY-SELL,2026-06-12,runtime:etf_report_state_20260612_20260612_210139.json,SPY,Sell,-7.646414,4.5600,0.0300,-4.5300,0.0300,Tier 2,Core beta,Guarded auto-execution: reduce SPY to fund IEFA.
model-2026-07-14-20260715_175910-01-URNM-SELL,2026-07-14,runtime:etf_report_state_20260714_20260715_175910.json,URNM,Sell,-122.008961,7.0100,2.0100,-5.0000,2.0100,Tier 2,Strategic energy,Guarded auto-execution: reduce URNM to fund XBI.
model-2026-07-14-20260715_175910-01-XBI-BUY,2026-07-14,runtime:etf_report_state_20260714_20260715_175910.json,XBI,Buy,40.491749,0.0000,5.0000,5.0000,5.0000,,Rotation destination,Guarded auto-execution: buy XBI funded by URNM.
runtime-2026-07-14-URNM,2026-07-14,runtime:output/pricing/price_audit_2026-07-14_20260715_175910.json,URNM,Sell,-122.008961,2.0100,-2.9900,-5.0000,2.0100,Tier 2,Strategic energy,Shadow execution from rotation intent.
runtime-2026-07-14-XBI,2026-07-14,runtime:output/pricing/price_audit_2026-07-14_20260715_175910.json,XBI,Buy,40.491749,5.0000,10.0000,5.0000,5.0000,Tier 2,Rotation destination,Shadow buy funded by URNM.
